#{"t_start": 1771510861.7328315, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
520.0,4565,690.311886
260.0,1945,691.282993
340.0,3599,693.077495
330.0,2888,694.546071
75.0,1093,695.114415
265.0,2615,696.673516
260.0,2463,698.097576
120.0,1909,699.003644
205.0,2019,699.956393
535.0,3193,701.516476
45.0,1525,702.265045
125.0,1871,703.211052
400.0,2831,704.644747
350.0,3019,706.206401
150.0,2237,707.448806
500.0,3907,709.72077
360.0,2977,711.126212
240.0,3071,712.621438
300.0,2303,713.753786
240.0,1751,719.525928
335.0,3105,721.675807
475.0,3625,723.728054
70.0,1521,724.434847
120.0,1949,725.376801
115.0,1473,726.092801
260.0,2367,727.263342
95.0,1147,727.825341
295.0,3021,729.352379
305.0,2411,730.63884
265.0,2273,732.105363
280.0,3129,733.788749
140.0,1949,734.708243
255.0,2307,735.830905
265.0,2617,737.121703
225.0,1937,738.08312
285.0,2759,739.492205
215.0,1923,740.479216
245.0,3569,742.602065
200.0,1877,743.924556
145.0,2031,744.985276
160.0,2351,746.093077
315.0,3187,747.632139
130.0,1861,748.554453
280.0,2517,749.810607
435.0,3299,751.495473
175.0,2309,752.871633
555.0,3453,754.816261
570.0,3383,756.415607
190.0,2047,757.414737
85.0,1161,757.978676
100.0,1473,758.719427
155.0,3247,760.362725
300.0,2557,761.694718
435.0,2503,763.076234
140.0,1943,764.410011
495.0,2543,766.071204
115.0,1435,766.826746
465.0,3052,768.288293
150.0,1501,769.024026
135.0,2071,770.051491
150.0,1969,771.043922
220.0,2283,772.199728
75.0,1171,772.792728
195.0,2125,777.381272
190.0,2363,778.898045
125.0,1439,779.673928
55.0,1357,780.30863
150.0,1803,781.159315
175.0,2231,782.259173
250.0,2841,783.662243
245.0,2119,784.723472
190.0,2045,785.765199
185.0,2187,786.896376
120.0,1491,787.675376
325.0,2415,789.143616
190.0,2231,790.431425
205.0,2717,791.724122
465.0,3269,793.306304
545.0,5183,795.932302
685.0,3843,798.050084
205.0,1997,799.289659
220.0,2035,800.551019
65.0,1611,801.315784
415.0,2535,802.503502
315.0,3055,803.990091
155.0,1803,804.876836
220.0,2217,805.990037
260.0,3480,807.777771
140.0,1895,808.760082
195.0,2125,810.057464
550.0,2675,811.587986
320.0,2713,812.872704
440.0,2887,814.262707
145.0,1549,815.026707
210.0,1993,816.009147
40.0,1765,816.902864
465.0,3725,818.794616
85.0,1629,819.639579
255.0,3009,821.385529
80.0,1913,822.568154
200.0,2515,823.743102
165.0,1651,824.532875
165.0,2361,825.67012
105.0,1727,826.544992
345.0,2465,827.789501
55.0,1397,828.566063
90.0,1449,829.302457
60.0,1287,830.007026
65.0,1357,834.643157
490.0,4215,837.055907
435.0,2613,838.287251
225.0,2669,839.596161
125.0,2061,840.60958
380.0,3319,842.271182
275.0,2571,843.579727
440.0,2765,844.995955
290.0,2421,846.40636
180.0,2067,847.701021
160.0,1471,848.380514
230.0,2279,849.44904
80.0,1557,850.204206
260.0,2237,851.291607
425.0,3327,852.953138
215.0,2329,854.134376
100.0,1441,854.883147
235.0,2203,856.03132
225.0,2099,857.14532
295.0,2631,858.823708
175.0,1519,859.588708
290.0,2821,860.924942
55.0,1163,861.485942
130.0,1467,862.202338
240.0,1991,863.17396
290.0,3383,864.856819
160.0,1663,865.706531
345.0,2775,867.14728
180.0,2025,868.20428
225.0,1963,869.419442
135.0,2115,870.672286
300.0,2783,871.977258
130.0,1585,872.736174
115.0,1575,873.498286
650.0,4405,875.671261
155.0,2001,876.683499
320.0,2877,878.163043
350.0,2929,879.686601
290.0,2918,881.531425
600.0,4021,883.642502
60.0,1595,884.473502
220.0,2323,885.677767
155.0,2069,886.706174
185.0,2075,891.947396
325.0,3195,893.772107
295.0,2447,894.919244
135.0,1953,895.857945
90.0,1483,896.58264
125.0,1589,897.351947
310.0,2701,898.709161
110.0,1443,899.43716
80.0,1139,900.006869
270.0,2001,901.043692
155.0,1455,901.819691
240.0,3284,903.876762
350.0,2933,905.257697
225.0,2217,906.314697
135.0,1525,907.06907
625.0,3897,908.995093
425.0,3201,910.602226
200.0,2597,911.948786
320.0,2187,913.382427
285.0,2607,915.081129
215.0,2197,916.116512
340.0,2869,917.492959
340.0,2663,918.789839
275.0,2331,920.001507
485.0,2795,921.413748
370.0,3179,923.05175
370.0,2047,924.229218
205.0,2485,925.756631
525.0,3641,927.455364
70.0,1469,928.171738
410.0,2821,929.551579
225.0,2521,930.807542
345.0,2099,931.866229
200.0,2061,932.928789
80.0,1529,933.733566
495.0,2993,935.51413
305.0,2907,937.176259
365.0,5093,939.599067
110.0,1215,940.184067
265.0,2295,941.321301
225.0,1549,942.090619
195.0,2797,943.530431
335.0,3321,949.671326
325.0,2867,951.273833
545.0,3339,952.849997
205.0,2095,953.863323
245.0,1577,954.624732
475.0,4373,956.790448
330.0,3023,958.334583
225.0,2069,959.513073
245.0,2683,961.167055
190.0,1819,962.030751
270.0,2765,963.332894
765.0,3753,965.169793
485.0,3963,967.159471
240.0,2279,968.325391
365.0,2703,969.714706
170.0,2177,970.971719
195.0,1961,972.221581
370.0,3293,973.918115
115.0,1875,974.808283
95.0,1063,975.314284
340.0,2789,976.665688
345.0,2937,978.130013
390.0,2939,979.63263
115.0,1547,980.431365
225.0,2203,981.680563
405.0,3001,983.554646
630.0,4275,985.56793
140.0,1883,986.46893
500.0,3725,988.34062
370.0,4449,990.593506
175.0,1949,991.797451
205.0,2123,993.190939
345.0,2765,994.697236
